Lon,Lat,Clave,Edo,Est,Tmed
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,27.57758621
-93.6,17.18,MALCP,CHIS,Nezahualcóyotl Chis.,29.55
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,29.14166667
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,25.12732143
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,30.1
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,28.42666667
-93.19,17.61,JUAREZ,CHIS,Juárez Chis. Protección Civil*,29.7875
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,24.04642857
-93.63,16.49,NVAPALESTINA,CHIS,Nueva Palestina Chis. SGT*,27.65357143
-93.27,16.23,VIFCP,CHIS,Villa Flores Chis.,25.20833333
-92.18,14.63,ILRAYON,CHIS,Ignacio López Rayón Chis. SGT*,28.45178571
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,26.5
-92.15,15.09,VTACANA,CHIS,Volcán Tacaná Chis. SMN*,21.475
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,25.1
-92.47,15.15,HUIXTLA,CHIS,Huixtla Chis. SGT*,28.32407407
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,27.17222222
-91.71,16.38,CHAYABE,CHIS,Finca Chayabé Chis. SGT*,21.51607143
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,27.58571429
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,18.08333333
-92.91,17,BOCHIL,CHIS,Bochil Chis. SGT*,24.19642857
-92.27,15.33,MOTOZINTLA,CHIS,Motozintla Chis. SGT*,19.83518519
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,23.96428571
-93.07,16.72,TXZCP,CHIS,Tuxtla Gutiérrez Zoomat Chis.,25.33928571
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,23.45886364
-92.48,15.35,FPZCP,CHIS,Finca la Paz Chis.,21.88636364
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,23.71538462
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,30.37592593
-101.42,26.91,76342,COAH,MONCLOVA,31.255
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,30.40344828
-103.45,25.53,76382,COAH,TORREON,30.26
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,25.98
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,23.80833333
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,28.93333333
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,28.625
-101.02,25.38,STOCL,COAH,Saltillo Coah.,23.85714286
-103.45,25.53,TORREONob,COAH,Observatorio de Torreón Coah. SMN*,30.09285714
-103.45,25.54,TORCL,COAH,Observatorio de Torreón Coah.,30.275
-103.47,25.54,CYTCL,COAH,Coyote Coah.,30.625
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,24.3
-102.98,25.76,SPECL,COAH,San Pedro Coah.,29.53333333
-100.66,26.84,CDLCL,COAH,Candela Coah.,29.45
-101.42,26.91,MCVCL,COAH,Monclova Coah.,31.275
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,29.35
-101,27.42,PRSCL,COAH,Progreso Coah.,30.95
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,31.025
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,29.70535714
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,30.18
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,27.31666667
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,28.60714286
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,26.8
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,27.58333333
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,28.26666667
-102.18,25.44,PARCL,COAH,Parras Coah.,24.75
-100.84,28.34,ADLCL,COAH,Allende Coah.,29.97222222
-101.02,25.38,76390,COAH,SALTILLO,23.38166667
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,23.44166667
-103.72,19.24,76658,COL,COLIMA,28.90172414
-104.33,19.07,76654,COL,MANZANILLO,29.68666667
-103.87,19.17,LAECM,COL,La Esperanza Col.,29.31818182
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,29.63461538
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,29.36607143
-103.63,18.83,CLLCM,COL,Callejones Col.,31.64583333
-103.87,18.91,TCMCM,COL,Tecomán Col.,30.65909091
-104.32,19.04,MNZCM,COL,Manzanillo Col.,29.74
-103.8,19.21,CQMCM,COL,Coquimatlán Col.,29.1547619
-103.73,19.22,LPSCM,COL,La Posta Col.,29.22333333
-103.73,19.22,RDRCM,COL,Radar Col.,29.48333333
-103.61,19.25,BVSCM,COL,Buena Vista Col.,28.025
-103.81,19.32,PNTCM,COL,Peñitas Col.,29.69318182
-103.6,19.32,CUACM,COL,Cuauhtémoc Col.,27.68181818
-103.88,19.11,DJLCM,COL,Derivadora Jala Col.,28.14333333
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,20.31551724
-99.2,19.31,CCH S,DF,CCH Sur,19.33833333
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,21.16851852
-99.2,19.3,DATDF,DF,Desviación Alta Cd. de Méx.,15.65
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,20.20714286
-99.07,19.47,SJADF,DF,San Juan de Aragón Cd. de Méx.,20.74166667
-99.14,19.52,CEADF,DF,Campamento Amealco Cd. de Méx.,20.7
-99.1,19.48,ENP 3,DF,Justo Sierra,20.93
-99.16,19.35,ENP 6,DF,Antonio Caso,20.71
-99.13,19.48,ENP 9,DF,Pedro de Alva,20.71666667
-99.18,19.33,CCA ,DF,Centro de Ciencias de la Atmósfera,20.23076923
-99.2,19.4,ENP 4,DF,Vidal castañeda y N.,20.125
-99.09,19.48,GCNDF,DF,km 6+250 del Gran Canal Cd. de Méx.,19.25833333
-99.2,19.5,CCH A,DF,CCH Azcapotzalco,20.50384615
-99.12,19.27,ENP 1,DF,Gabino Barreda,20.20666667
-99.1,19.38,ENP 2,DF,Erasmo Castellanos Q.,20.935
-99.19,19.37,ENP 8,DF,Manuel E. Schulz,19.37222222
-104.6,24.09,76423,DGO,DURANGO,25.41964286
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,27.69642857
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,25.89285714
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,25.37931034
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,24.74166667
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,23.81666667
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,24.08035714
-104.67,24.03,DRGDR,DGO,Durango Dgo.,25.83214286
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,22.56666667
-104.75,24.5,CNTDR,DGO,Canatlán Dgo.,21.4
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,20.91666667
-103.08,24.61,SELDR,DGO,Santa Elena Dgo.,19.225
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,32.58823529
-103.7,24.87,CNCDR,DGO,Cuencamé Dgo.,26.85
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,30.65
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,24.01666667
-105.44,25.22,SACDR,DGO,Salomé Acosta Dgo.,24.4
-104.11,25.23,NZSDR,DGO,Nazas Dgo.,26.00925926
-104.07,25.26,AM2DR,DGO,Agustín Melgar Dgo. SMN*,27.03035714
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,28.18333333
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,27.95689655
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,28.5
-105.02,25.59,LCRDR,DGO,Lázaro Cárdenas Dgo.,26.8362069
