LON,LAT,EDO,CLAVE,ESTACION,SEP
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",215.8
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",107
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",381.91
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",154.6
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",143.91
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",247.4
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",81.3
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",267
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",294
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",434.8
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",220.3
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",121.01
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",338.1
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",849.5
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",285.2
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",463.91
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",177.8
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",526
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",71
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",137.25
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",95
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",111.82
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",190.63
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",74.3
-93.270833,16.233333,CHIS,VIFCP,"Villa Flores, Chis.",192.8
-92.331944,17.1725,CHIS,YAJALON,"YajalÛn, Chis. SGT*",179.4
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",116.5
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",86.1
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",18.03
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",34
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",106.01
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",10
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",70.3
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",4.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",157
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",1
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",4
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",61.92
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",108.01
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",52
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas, Ciudad AcuÒa CILA, Coah.",1.6
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0.25
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",40
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",233
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",115.8
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",33.25
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",82.5
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",20.4
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",25
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",7.5
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",82
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",186.32
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",0.75
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",7.1
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",53.51
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",15
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",124
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",39.43
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",117.22
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",49.31
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",47
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",55.5
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",7
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",313.5
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",634.83
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",422.71
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",550.21
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",451.45
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",445.72
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",279.7
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",577.95
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",518.5
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",538.21
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",398.41
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",595.32
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",551.91
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",532.5
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",291.7
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",287
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",590.02
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",309.52
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",347.52
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",155.41
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de MÈx. SACMEX*",62.21
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",16.52
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",114.85
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",16.27
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",66.76
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",67.3
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",122.09
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",94.482
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",108.7
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",77.33
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de MÈx. UNAM*",54.12
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de MÈx. UNAM*",103.11
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",115.32
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de MÈx. SACMEX*",79.75
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",108.7
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",80.26
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",120.93
-99.077222,19.336944,DF,CESTRELLA,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx. SACMEX*",55.382
-99.171667,19.1375,DF,CFORESTAL,"Caseta Forestal, Cd. de MÈx. SACMEX*",100.816
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",108.94
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de MÈx. SACMEX*",62.23
-99.136667,19.470556,DF,CIENMETROS,"Avenida Cien Metros, Cd. de MÈx. SACMEX*",232.42
-99.182778,19.486944,DF,CMECOAYA,"Campamento Mecoaya, Cd. de MÈx. SACMEX*",67.314
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",232.42
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",67.31
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",52.79
-99.171944,19.407222,DF,CONDESA,"Condesa, Cd. de MÈx. UNAM*",156.53
-99.247222,19.306389,DF,CONTRERAS,"Contreras, Cd. de MÈx. UNAM*",82.39
-99.09,19.484722,DF,COYOLDF,"Coyol, Cd. de MÈx. SACMEX*",15.484
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",22.07
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, MÈx. UNAM*",76.41
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",49.58
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",47.34
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",17.24
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",20
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",36.59
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",170.94
-99.162778,19.378333,DF,DELVALLE,"Del Valle, Cd. de MÈx. SACMEX*",49.03
-99.221111,19.321944,DF,DHUMANOS,"Derechos Humanos, Cd. de MÈx. UNAM*",72.45
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",36.59
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",49.03
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",20.56
-99.151944,19.300278,DF,EAZTECA,"Estadio Azteca, Cd. de MÈx. SACMEX*",20.564
-99.271111,19.373889,DF,ELCARTERO,"Tanque el Cartero, Cd. de MÈx. SACMEX*",179.072
-99.066667,19.377778,DF,ELMORALDF,"Lumbrera Cuatro RÌos (El Moral), Cd. de MÈx. SACMEX*",44.45
-99.286667,19.363611,DF,ELYAQUI,"El Yaqui, Cd. de MÈx. SACMEX*",166.622
