Lon,Lat,Clave,Edo,Est,Tmin
-100.84,28.34,ADLCL,COAH,Allende Coah.,14.31034483
-103.72,19.24,76658,COL,COLIMA,16.6962963
-104.33,19.07,76654,COL,MANZANILLO,20.12666667
-103.87,19.17,LAECM,COL,La Esperanza Col.,13.68181818
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,17.51666667
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,17.5
-103.63,18.83,CLLCM,COL,Callejones Col.,17.38333333
-103.87,18.91,TCMCM,COL,Tecomán Col.,18.20833333
-104.32,19.04,MNZCM,COL,Manzanillo Col.,20.20666667
-103.8,19.21,CQMCM,COL,Coquimatlán Col.,17.64285714
-103.73,19.22,LPSCM,COL,La Posta Col.,16.73076923
-103.73,19.22,RDRCM,COL,Radar Col.,17.51666667
-103.61,19.25,BVSCM,COL,Buena Vista Col.,15.7
-103.81,19.32,PNTCM,COL,Peñitas Col.,18.83333333
-103.6,19.32,CUACM,COL,Cuauhtémoc Col.,18.75
-103.88,19.11,DJLCM,COL,Derivadora Jala Col.,14.9
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,13.69655172
-99.2,19.31,CCH S,DF,CCH Sur,11.98
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,14.79
-99.2,19.3,DATDF,DF,Desviación Alta Cd. de Méx.,9.566666667
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,14.19333333
-99.07,19.47,SJADF,DF,San Juan de Aragón Cd. de Méx.,11.53333333
-99.14,19.52,CEADF,DF,Campamento Amealco Cd. de Méx.,11.61666667
-99.1,19.48,ENP 3,DF,Justo Sierra,13.82333333
-99.16,19.35,ENP 6,DF,Antonio Caso,13.57
-99.13,19.48,ENP 9,DF,Pedro de Alva,14.84482759
-99.06,19.38,CCH O,DF,CCH Oriente,13.10344828
-99.18,19.33,CCA ,DF,Centro de Ciencias de la Atmósfera,12.27666667
-99.2,19.4,ENP 4,DF,Vidal castañeda y N.,14.25666667
-99.09,19.48,GCNDF,DF,km 6+250 del Gran Canal Cd. de Méx.,9.95
-99.2,19.5,CCH A,DF,CCH Azcapotzalco,12.29333333
-99.12,19.27,ENP 1,DF,Gabino Barreda,12.93666667
-99.19,19.37,ENP 8,DF,Manuel E. Schulz,12.06521739
-99.1,19.38,ENP 2,DF,Erasmo Castellanos Q.,14.72
-99.14,19.48,CCH V,DF,CCH Vallejo,13.54814815
-104.6,24.09,76423,DGO,DURANGO,9.666666667
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,11.2
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,12.2
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,8.948275862
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,6.233333333
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,7.1
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,9.016666667
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,6.1875
-104.67,24.03,DRGDR,DGO,Durango Dgo.,9.733333333
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,6.7
-104.75,24.5,CNTDR,DGO,Canatlán Dgo.,4.566666667
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,6.133333333
-103.08,24.61,SELDR,DGO,Santa Elena Dgo.,8.933333333
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,17.77272727
-103.7,24.87,CNCDR,DGO,Cuencamé Dgo.,11.46666667
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,15.03448276
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,8.133333333
-105.44,25.22,SACDR,DGO,Salomé Acosta Dgo.,6
-104.11,25.23,NZSDR,DGO,Nazas Dgo.,9.259259259
-104.07,25.26,AM2DR,DGO,Agustín Melgar Dgo. SMN*,8.173333333
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,14.78333333
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,10.6
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,15.3
-105.02,25.59,LCRDR,DGO,Lázaro Cárdenas Dgo.,12.83333333
-103.85,25.82,MPMDR,DGO,Mapimí Dgo.,16.5
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,-3.260869565
-105.37,25.95,SMODR,DGO,Santa María del Oro Dgo.,5.8
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,12.64285714
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,6.416666667
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,9.285714286
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,9.466666667
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,8.8
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,7.813333333
-105.53,26,SBEDR,DGO,San Bernardo Dgo.,6.607142857
-104.33,24.54,PDCDR,DGO,Pánuco de Coronado Dgo.,5.027777778
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,10.16666667
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,4.45
-105.67,23.75,SLTDR,DGO,El Salto Dgo.,-0.95
-104.92,24.8,GUADR,DGO,Guatimapé Dgo.,2.263157895
-105.05,23.9,NAVDR,DGO,Navios Viejos Dgo.,-4.166666667
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidrométrica Dgo.,7.133333333
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria Dgo.,9.016666667
-103.96,24,FV2DR,DGO,Francisco Villa hidrométrica Dgo.,6.1875
-104.8,24.52,CB2DR,DGO,Caboraca hidrométrica Dgo.,6.133333333
-103.28,25.07,LFLDR,DGO,La Flor Coah.,10.28571429
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,10.67857143
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,1.05
-99.75,16.76,76805,GRO,ACAPULCO,21.22333333
-99.5,17.55,76762,GRO,CHILPANCINGO,17.45925926
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,17.86363636
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,18.60714286
-99.93,17.6,YXTGR,GRO,Yextla Gro.,14.15384615
-100.52,18.08,AFIGR,GRO,Andrés Figueroa Gro.,22.4
-99.61,18.55,TAXGR,GRO,Taxco Gro.,17.4
-98.41,16.47,CNLGR,GRO,Cuajinicuilapa Gro.,23.92307692
-98.43,16.68,OMEGR,GRO,Ometepec Gro.,15
-99.24,16.76,LDGGR,GRO,Las Vigas Gro.,17.88461538
-99.75,16.76,ACUGR,GRO,Acapulco Gro. SMN*,19.25333333
-99.8,16.8,ODAGR,GRO,Observatorio de Acapulco Gro.,21.32666667
-99.91,16.85,ACAGR,GRO,Acapulco Gro.,22.53333333
-99.1,16.95,AYUGR,GRO,Ayutla Gro.,17.82692308
-100.02,16.96,LDCGR,GRO,Laguna de Coyuca Gro.,20.04166667
