LON,LAT,EDO,CLAVE,ESTACION,dic-19
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",8.11
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",17.2
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",13.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",23.8
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",37
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",0
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",424
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",0.75
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",20.1
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",4.41
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",44
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",27.6
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",0
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",4.4
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",582.4
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",4.9
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",83.4
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",117.4
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0.4
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",0.8
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",560.7
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",76.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",3.02
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",225
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",226.6
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",1.9
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",30.6
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",137.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",6.3
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",3.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",212.8
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",192
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",4.4
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",564.4
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula CFE, Chis.",563.6
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",22
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",24.3
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",0.01
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",2.3
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",0.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",90.6
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",137.9
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",292.8
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",20.11
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",91.3
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",1
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",1.4
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",0.1
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",1
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",1.41
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",0.9
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",1.3
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",189.6
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",28.3
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",0
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",15.05
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",1
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",1
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",0.01
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",2.01
-100.911944,28.598889,COAH,CEXPZARAGOZA,"Campo Experimental Zaragoza, Coah. INIFAP*",0
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",1
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",3
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",6.61
-102.39,27.335556,COAH,EJIDOOC,"Ejido Ocampo, Coah. INIFAP*",0.2
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",6.8
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",8
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",2
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",0
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",0.8
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",0
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",0
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",0
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",0
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.06
-100.770278,25.203611,COAH,RGUADALUPE,"Rancho Guadalupe, Coah. INIFAP*",17.8
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",1.75
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",0
-102.017778,26.805278,COAH,RPRONATURA,"Rancho Pronatura, Coah. INIFAP*",0.6
-100.325833,28.289722,COAH,RSANTAELENA,"Rancho Santa Elena, Coah. INIFAP*",0
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",63
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",3.66
