Estado,Localidad,Lon,Lat,Clave,Tmax,Tmin,Tmed
DF,Vidal castañeda y N.,-99.2,19.4,ENP 4,22.17419355,9.622580645,15.898387099999999
DF,km 6+250 del Gran Canal Cd. de Méx.,-99.09,19.48,GCNDF,21.69354839,4.806451613,13.25
DGO,Agustín Melgar Dgo. SMN*,-104.07,25.26,AM2DR,25.46774194,1.251612903,13.35967742
DGO,Caboraca Dgo.,-104.81,24.54,CBRDR,18.40322581,0.935483871,9.669354839
DGO,Canatlán Dgo.,-104.75,24.5,CNTDR,23.25806452,2.129032258,12.69354839
DGO,Ceballos Dgo.,-104.12,26.52,CEBDR,23.87096774,1.0,12.43548387
DGO,Ciudad Lerdo Dgo.,-103.52,25.53,CLRDR,21.16129032,7.096774194,14.12903226
DGO,DURANGO,-104.6,24.09,76423,24.24516129,4.635483871,14.44032258
DGO,Durango Dgo.,-104.67,24.03,DRGDR,24.51612903,4.619354839,14.56774194
DGO,Francisco Villa Dgo.,-103.96,24.0,FVLDR,25.35483871,3.419354839,14.38709677
DGO,Francisco Zarco Dgo.,-103.77,25.27,FZRDR,21.548387100000003,7.870967742,14.70967742
DGO,Guadalupe Victoria Dgo.,-104.75,23.96,GVHDR,19.83870968,4.6290322580000005,12.23387097
DGO,Peña del Águila Dgo.,-104.66,24.2,PAGDR,22.0,-0.225806452,10.88709677
DGO,Presidente Guadalupe Victoria Dgo.,-104.75,23.96,GVCDR,19.83870968,4.6290322580000005,12.23387097
DGO,Salomé Acosta Dgo.,-105.44,25.22,SACDR,23.12903226,1.822580645,12.47580645
DGO,Santa Clara Dgo.,-103.35,24.47,SCLDR,22.90322581,0.774193548,11.83870968
DGO,Tlahualilo Dgo.,-103.44,26.11,THODR,22.41935484,4.258064516,13.33870968
DGO,Vicente Guerrero Dgo.,-103.98,23.74,VGCDR,22.80645161,1.7903225809999999,12.2983871
DGO,Villa Hidalgo Dgo.,-104.93,26.24,VHGDR,21.61290323,1.0806451609999999,11.34677419
DGO,Villa Ocampo Dgo. SMN*,-105.5,26.44,VILLAOCAMPO,21.83870968,-0.403225806,10.71774194
GRO,ACAPULCO,-99.75,16.76,76805,33.27741935,21.60645161,27.44193548
GRO,Acapulco Gro. SMN*,-99.75,16.76,ACUGR,33.2,18.80967742,26.00483871
GRO,Ayutla Gro.,-99.1,16.95,AYUGR,33.59677419,16.83870968,25.21774194
GRO,Buena Vista Gro.,-99.4,18.46,BVSGR,28.29032258,12.12903226,20.20967742
GRO,Chichihualco Gro.,-99.7,17.67,CCHGR,31.61290323,10.80645161,21.20967742
GRO,Chilapa Gro.,-99.18,17.61,CHLGR,27.38709677,10.25806452,18.82258065
GRO,Chilpancingo Gro.,-99.5,17.55,CHIGR,29.01612903,11.75806452,20.38709677
GRO,Ciudad Altamirano Gro.,-100.66,18.36,CALGR,34.37096774,16.59677419,25.48387097
GRO,Ciudad Altamirano Gro. SMN*,-100.66,18.35,CA2GR,37.20322581,22.39677419,29.8
GRO,Iguala Gro.,-99.55,18.35,IGLGR,32.18709677,15.48709677,23.83709677
GRO,Observatorio de Acapulco Gro.,-99.8,16.8,ODAGR,33.29677419,21.64193548,27.46935484
GRO,Observatorio de Zumpango Gro.,-99.5,17.6,ODZGR,28.22580645,14.51612903,21.37096774
GRO,Olinala Gro.,-98.74,17.78,OLNGR,37.12903226,11.12903226,24.12903226
GRO,Ometepec Gro.,-98.43,16.68,OMEGR,26.03225806,15.0,20.51612903
GRO,Quetzala Gro.,-98.5,16.66,QTZGR,32.77419355,17.77419355,25.27419355
GRO,San Jerónimo Gro.,-100.47,17.14,SJEGR,32.0,21.48387097,26.74193548
GRO,Taxco Gro. SGT*,-99.6,18.55,TAXCO,24.46774194,13.72580645,19.09677419
GRO,Tierra Colorada Gro.,-99.53,17.17,TCOGR,33.22580645,18.70967742,25.96774194
GRO,Tlacotepec Gro.,-99.98,17.79,TLAGR,19.64516129,8.290322581,13.96774194
GRO,Tlapa Gro.,-98.6,17.5,TLPGR,30.58064516,12.5483871,21.56451613
GRO,Vicente Guerrero Gro.,-100.27,18.38,VGRGR,36.58064516,14.33870968,25.45967742
GRO,Xochihuehuetlán Gro.,-98.49,17.9,XXHGR,33.67741935,10.48387097,22.08064516
GRO,Yextla Gro.,-99.93,17.6,YXTGR,24.548387100000003,10.19354839,17.37096774
GTO,Abasolo Gto.,-101.52,20.43,ABSGJ,25.451612899999997,9.564516129,17.50806452
GTO,Acámbaro Gto.,-100.72,20.03,ACNGJ,24.61290323,7.741935484,16.17741935
GTO,Agua Tibia Gto.,-101.63,20.5,ATBGJ,26.12903226,5.258064516,15.69354839
GTO,Ameche Gto.,-100.58,20.55,AMCGJ,25.85483871,6.0,15.92741935
GTO,Apaseo el Alto Gto.,-100.62,20.45,APSGJ,25.33870968,8.451612903,16.89516129
GTO,Apaseo el Grande Gto.,-100.68,20.53,AEGGJ,27.91935484,7.935483871000001,17.92741935
GTO,Barbosa Gto. Protección Civil*,-101.63,21.29,BARBOSA,21.41612903,6.135483871,13.77580645
GTO,Celaya Gto.,-100.82,20.53,CLYGJ,26.70967742,7.709677419,17.20967742
GTO,Cinco Señores Gto.,-100.9,20.95,CSRGJ,24.06451613,3.419354839,13.74193548
GTO,Comanjilla Gto.,-101.47,21.07,COMGJ,25.5,6.193548387000001,15.84677419
GTO,Coroneo Gto.,-100.36,20.2,CORGJ,23.64516129,2.516129032,13.08064516
GTO,Cortázar Gto.,-100.95,20.48,CRTGJ,25.70967742,7.387096774,16.5483871
GTO,Cuerámaro Gto.,-101.67,20.62,CRMGJ,26.61290323,9.64516129,18.12903226
GTO,Dolores Hidalgo Gto.,-100.93,21.15,DHGGJ,28.24193548,2.274193548,15.25806452
GTO,El Barrial Gto.,-101.83,21.05,BRRGJ,24.03225806,5.661290322999999,14.84677419
GTO,El Conejo Gto.,-101.37,20.73,ECNGJ,25.29032258,5.435483871000001,15.36290323
GTO,El Cubo Gto.,-100.9,20.28,ECBGJ,25.40322581,5.0806451610000005,15.24193548
GTO,El Palote Gto.,-101.69,21.17,EPLGJ,24.32258065,7.838709677000001,16.08064516
GTO,GUANAJUATO,-101.29,21.01,76577,22.47777778,8.0,15.23888889
GTO,Guanajuato Gto.,-101.26,21.01,GTOGJ,23.78387097,8.035483871,15.90967742
GTO,Ignacio Allende Gto.,-100.83,20.85,IALGJ,24.74193548,6.112903226,15.42741935
GTO,Irapuato Gto.,-101.35,20.68,IRPGJ,24.33870968,8.725806452,16.53225806
GTO,Jerécuaro Gto.,-100.52,20.13,JCRGJ,24.46774194,4.709677419,14.58870968
GTO,La Golondrina Gto.,-101.74,20.44,GLNGJ,23.19354839,9.838709677,16.51612903
GTO,La Purísima Gto.,-101.29,20.87,PRSGJ,25.0,8.290322581,16.64516129
GTO,La Quemada Gto.,-101.11,21.32,LQMGJ,21.22580645,1.870967742,11.5483871
GTO,Laguna de Yuriria Gto.,-101.07,20.29,LDYGJ,24.06451613,5.741935484,14.90322581
GTO,Las Adjuntas Gto.,-101.84,20.68,LADGJ,24.25806452,4.516129032,14.38709677
GTO,Las Jícamas Gto.,-101.36,20.28,LJIGJ,25.451612899999997,7.7741935479999995,16.61290323
GTO,León Gto.,-101.67,21.1,LENGJ,25.46774194,10.11290323,17.79032258
GTO,Los Castillos Gto.,-101.67,21.2,CSTGJ,25.548387100000003,7.387096774,16.46774194
GTO,Pericos Gto.,-101.13,20.52,PERGJ,24.37096774,6.483870968,15.42741935
