Estado,Localidad,Lon,Lat,Clave,2020,2018,Edo,2019
GRO,"Chilpancingo, Gro.",-99.5,17.545278,CHIGR,15.4,15.4,GRO,147.3
GRO,"Ciudad Altamirano, Gro.",-100.66444399999999,18.359444,CALGR,13.0,13.0,GRO,201.0
GRO,"Coyuca de Benítez, Gro.",-100.089444,17.008889,CDBGR,0.0,0.0,GRO,44.0
GRO,"Coyuquilla, Gro.",-101.05444399999999,17.376944,CYQGR,0.0,0.0,GRO,38.0
GRO,"Cuajinicuilapa, Gro.",-98.41194399999999,16.47,CNLGR,0.0,0.0,GRO,107.9
GRO,"Huitzuco, Gro.",-99.332778,18.3025,HTZGR,0.0,0.0,GRO,317.4
GRO,"Iguala, Gro.",-99.55,18.349722,IGLGR,0.0,0.0,GRO,270.4
GRO,"Iguala, Gro. SMN*",-99.524167,18.360278,IGUALA,0.0,0.0,GRO,196.3
GRO,"Ixcateopan de Tlapa, Gro.",-98.51333299999999,17.6225,IXTGR,0.0,0.0,GRO,139.1
GRO,"La Calera, Gro.",-101.003056,18.418611,LCLGR,3.0,3.0,GRO,83.6
GRO,"Laguna de Coyuca, Gro.",-100.018056,16.958333,LDCGR,0.0,0.0,GRO,76.0
GRO,"Laguna de Tuxpan, Gro.",-99.503056,18.363332999999997,LDTGR,0.0,0.0,GRO,270.4
GRO,"Las Vigas, Gro.",-99.235,16.76,LDGGR,0.0,0.0,GRO,146.2
GRO,"Mochitlán, Gro.",-99.369167,17.471110999999997,MCHGR,4.9,4.9,GRO,403.2
GRO,"Observatorio de Acapulco, Gro.",-99.799722,16.8,ODAGR,0.0,0.0,GRO,85.5
GRO,"Observatorio de Zumpango, Gro.",-99.5,17.6,ODZGR,0.9,0.9,GRO,113.5
GRO,"Olinala, Gro.",-98.735,17.777222000000002,OLNGR,0.0,0.0,GRO,307.0
GRO,"Ometepec, Gro.",-98.43333299999999,16.683332999999998,OMEGR,0.0,0.0,GRO,389.1
GRO,"Petaquillas, Gro.",-99.43333299999999,17.984444,PETGR,6.0,6.0,GRO,204.0
GRO,"Quetzala, Gro.",-98.500556,16.655832999999998,QTZGR,0.0,0.0,GRO,265.8
GRO,"Revolución Mexicana, Gro.",-99.166111,16.823611,RMEGR,0.0,0.0,GRO,145.5
GRO,"San Jerónimo, Gro.",-100.472778,17.139444,SJEGR,0.0,0.0,GRO,51.5
GRO,"San Marcos, Gro.",-99.482778,16.796389,SNMGR,0.0,0.0,GRO,258.5
GRO,"Taxco, Gro.",-99.605278,18.554444,TAXGR,0.0,0.0,GRO,190.7
GRO,"Tierra Colorada, Gro.",-99.526389,17.1675,TCOGR,0.0,0.0,GRO,84.8
GRO,"Tixtla, Gro.",-99.39944399999999,17.568056,TXTGR,11.5,11.5,GRO,208.4
GRO,"Tlacotepec, Gro.",-99.976389,17.789722,TLAGR,0.0,0.0,GRO,214.7
GRO,"Tlapa, Gro.",-98.6,17.5,TLPGR,0.0,0.0,GRO,108.6
GRO,"Vicente Guerrero, Gro.",-100.265833,18.382778,VGRGR,0.0,0.0,GRO,200.8
GRO,"Xochihuehuetlán, Gro.",-98.488333,17.903889000000003,XXHGR,0.0,0.0,GRO,141.4
GRO,"Yextla, Gro.",-99.93333299999999,17.603333,YXTGR,8.3,8.3,GRO,112.3
GRO,"Zihuatanejo, Gro.",-101.545,17.863332999999997,ZHTGR,0.7,0.7,GRO,191.4
GTO,"Abasolo, Gto.",-101.516667,20.433332999999998,ABSGJ,1.2,1.2,GTO,203.5
GTO,"Acámbaro, Gto.",-100.716667,20.033333,ACNGJ,6.0,6.0,GTO,165.1
GTO,"Agua Tibia, Gto.",-101.625556,20.499167,ATBGJ,1.0,1.0,GTO,186.1
GTO,"Ameche, Gto.",-100.583333,20.55,AMCGJ,1.0,1.0,GTO,100.3
GTO,"Apaseo el Alto, Gto.",-100.62083299999999,20.454167,APSGJ,0.0,0.0,GTO,111.6
GTO,"Celaya, Gto.",-100.81666700000001,20.533333,CLYGJ,0.0,0.0,GTO,158.6
GTO,"Cinco Señores, Gto.",-100.9,20.95,CSRGJ,0.5,0.5,GTO,110.2
GTO,"Comanjilla, Gto.",-101.474722,21.068056,COMGJ,0.0,0.0,GTO,243.0
GTO,"El Barrial, Gto.",-101.833333,21.05,BRRGJ,3.5,3.5,GTO,149.4
GTO,"El Chapín, Gto.",-101.2,20.9,ECHGJ,0.0,0.0,GTO,186.3
GTO,"El Conejo, Gto.",-101.366667,20.733333,ECNGJ,0.0,0.0,GTO,179.2
GTO,"El Cubo, Gto.",-100.5,20.2,ECBGJ,1.0,1.0,GTO,195.1
GTO,"El Palote, Gto.",-101.688056,21.173333,EPLGJ,4.6,4.6,GTO,165.2
GTO,"Guanajuato, Gto.",-101.265,21.012222,GTOGJ,11.1,11.1,GTO,190.7
GTO,"Ignacio Allende, Gto.",-100.82583299999999,20.848056,IALGJ,0.0,0.0,GTO,80.2
GTO,"Irapuato, Gto.",-101.35,20.683332999999998,IRPGJ,0.0,0.0,GTO,200.5
GTO,"La Purísima, Gto.",-101.287778,20.867222,PRSGJ,0.0,0.0,GTO,244.0
GTO,"La Quemada, Gto.",-101.106944,21.3225,LQMGJ,3.1,3.1,GTO,71.5
GTO,"Laguna de Yuriria, Gto.",-101.07305600000001,20.286944000000002,LDYGJ,0.5,0.5,GTO,190.1
GTO,"León, Gto.",-101.666667,21.1,LENGJ,0.7,0.7,GTO,188.0
GTO,"Los Castillos, Gto.",-101.666667,21.2,CSTGJ,7.9,7.9,GTO,162.1
GTO,"Ocampo, Gto.",-101.516667,21.633333,OCMGJ,12.0,12.0,GTO,88.0
