LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",45.53
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",15.49
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",57
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",7.04
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",7.5
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",68.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",24.4
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",11.3
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",6.43
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",16.15
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",35.5
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",4.82
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",7.04
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",43.51
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",13
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",142.21
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",181.61
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",680.1
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",411.02
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",170.4
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",99.6
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",523.51
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",149.6
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",174.73
