Estado,Localidad,Edo,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
GRO,"Tlacotepec, Gro.",GRO,TLAGR,-99.98,17.79,0.0,214.7,0.0,19.64516129,8.290322581,13.96774194
GRO,"Tlapa, Gro.",GRO,TLPGR,-98.6,17.5,0.0,108.6,0.0,30.58064516,12.5483871,21.56451613
GRO,"Vicente Guerrero, Gro.",GRO,VGRGR,-100.27,18.38,0.0,200.8,0.0,36.58064516,14.33870968,25.45967742
GRO,"Xochihuehuetlán, Gro.",GRO,XXHGR,-98.49,17.9,0.0,141.4,0.0,33.67741935,10.48387097,22.08064516
GRO,"Yextla, Gro.",GRO,YXTGR,-99.93,17.6,8.3,112.3,8.3,24.548387100000003,10.19354839,17.37096774
GTO,"Abasolo, Gto.",GTO,ABSGJ,-101.52,20.43,1.2,203.5,1.2,25.451612899999997,9.564516129,17.50806452
GTO,"Acámbaro, Gto.",GTO,ACNGJ,-100.72,20.03,6.0,165.1,6.0,24.61290323,7.741935484,16.17741935
GTO,"Agua Tibia, Gto.",GTO,ATBGJ,-101.63,20.5,1.0,186.1,1.0,26.12903226,5.258064516,15.69354839
GTO,"Ameche, Gto.",GTO,AMCGJ,-100.58,20.55,1.0,100.3,1.0,25.85483871,6.0,15.92741935
GTO,"Apaseo el Alto, Gto.",GTO,APSGJ,-100.62,20.45,0.0,111.6,0.0,25.33870968,8.451612903,16.89516129
GTO,"Celaya, Gto.",GTO,CLYGJ,-100.82,20.53,0.0,158.6,0.0,26.70967742,7.709677419,17.20967742
GTO,"Cinco Señores, Gto.",GTO,CSRGJ,-100.9,20.95,0.5,110.2,0.5,24.06451613,3.419354839,13.74193548
GTO,"Comanjilla, Gto.",GTO,COMGJ,-101.47,21.07,0.0,243.0,0.0,25.5,6.193548387000001,15.84677419
GTO,"El Barrial, Gto.",GTO,BRRGJ,-101.83,21.05,3.5,149.4,3.5,24.03225806,5.661290322999999,14.84677419
GTO,"El Conejo, Gto.",GTO,ECNGJ,-101.37,20.73,0.0,179.2,0.0,25.29032258,5.435483871000001,15.36290323
GTO,"El Cubo, Gto.",GTO,ECBGJ,-100.9,20.28,1.0,195.1,1.0,25.40322581,5.0806451610000005,15.24193548
GTO,"El Palote, Gto.",GTO,EPLGJ,-101.69,21.17,4.6,165.2,4.6,24.32258065,7.838709677000001,16.08064516
GTO,"Guanajuato, Gto.",GTO,GTOGJ,-101.26,21.01,11.1,190.7,11.1,23.78387097,8.035483871,15.90967742
GTO,"Ignacio Allende, Gto.",GTO,IALGJ,-100.83,20.85,0.0,80.2,0.0,24.74193548,6.112903226,15.42741935
GTO,"Irapuato, Gto.",GTO,IRPGJ,-101.35,20.68,0.0,200.5,0.0,24.33870968,8.725806452,16.53225806
GTO,"La Purísima, Gto.",GTO,PRSGJ,-101.29,20.87,0.0,244.0,0.0,25.0,8.290322581,16.64516129
GTO,"La Quemada, Gto.",GTO,LQMGJ,-101.11,21.32,3.1,71.5,3.1,21.22580645,1.870967742,11.5483871
GTO,"Laguna de Yuriria, Gto.",GTO,LDYGJ,-101.07,20.29,0.5,190.1,0.5,24.06451613,5.741935484,14.90322581
GTO,"León, Gto.",GTO,LENGJ,-101.67,21.1,0.7,188.0,0.7,25.46774194,10.11290323,17.79032258
GTO,"Los Castillos, Gto.",GTO,CSTGJ,-101.67,21.2,7.9,162.1,7.9,25.548387100000003,7.387096774,16.46774194
GTO,"Pericos, Gto.",GTO,PERGJ,-101.13,20.52,0.4,152.3,0.4,24.37096774,6.483870968,15.42741935
GTO,"Pozos, Gto.",GTO,POZGJ,-100.5,21.22,0.1,41.7,0.1,20.93548387,4.741935484,12.83870968
GTO,"Salamanca, Gto.",GTO,SLMGJ,-101.2,20.57,2.8,193.6,2.8,25.91935484,8.0,16.95967742
GTO,"Salvatierra, Gto.",GTO,SLVGJ,-100.88,20.21,8.9,120.7,8.9,26.06451613,6.629032258,16.34677419
GTO,"San Felipe, Gto.",GTO,SFEGJ,-101.22,21.48,5.4,82.9,5.4,19.90322581,2.596774194,11.25
GTO,"Santa Julia, Gto.",GTO,SJLGJ,-101.02,20.4,1.2,185.6,1.2,25.79032258,5.806451612999999,15.7983871
GTO,"Santa Rita, Gto.",GTO,SRTGJ,-101.07,20.3,0.0,138.5,0.0,25.27419355,6.209677419,15.74193548
GTO,"Solís, Gto.",GTO,SLSGJ,-100.67,20.05,8.0,126.1,8.0,24.77419355,7.806451612999999,16.29032258
GTO,"Tarimoro, Gto.",GTO,TARGJ,-100.75,20.28,1.5,162.1,1.5,25.58064516,6.887096774,16.23387097
GTO,"Temascatío, Gto.",GTO,TEMGJ,-101.3,20.6,0.0,243.9,0.0,26.27419355,9.370967742000001,17.82258065
HGO,"Actopan, Hgo.",HGO,ACTHD,-98.94,20.27,15.0,46.4,15.0,26.77419355,4.064516128999999,15.41935484
