Lon,Lat,Clave,Edo,Est,Tmin
-99.15,22.99,AHUALULCOTP,TAMPS,Ahualulco Tamps. SGT*,15.91923077
-99.15,23.05,GOMEZFARIAS,TAMPS,Gomez Farias Tamps. SGT*,16.2047619
-98.37,24.05,ABASOLO,TAMPS,Abasolo Tamps. SGT*,15.296
-99.22,24.1,BARRETALI,TAMPS,Barretal Uno Tamps. SGT*,13.52307692
-99.43,24.25,TOMASENO,TAMPS,El Tomaseño Tamps. SGT*,12.18846154
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,23.25384615
-99.61,18.55,TAXGR,GRO,Taxco Gro.,15.82608696
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,4.910714286
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,4.535714286
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,6.067857143
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,7.75
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,9.775
-102,21.9,CNSAG,AGS,Los Conos Ags.,5.589285714
-102.68,22,CDRAG,AGS,La Codorniz Ags.,9.125
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,7.535714286
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,8.660714286
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,6.732142857
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,8.485714286
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,9.089285714
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,7.75
-102.3,22.36,CSOAG,AGS,Cosío Ags.,3.321428571
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,6.448148148
-114.85,31.03,SFLBN,BC,San Felipe B.C.,8.072727273
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,7.083333333
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,-1.433333333
-115.15,32.41,ENLBN,BC,Ejido Nuevo León B.C.,8.866666667
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,6.96
-116.83,32.47,EFLBN,BC,El Florido B.C.,7.105263158
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,6.782608696
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,5.625
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,15.38461538
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,14.78571429
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,11.22222222
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,7.910714286
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,11.96428571
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,14.64285714
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,8.25
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,10.44642857
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,11.33928571
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,13
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,14.83214286
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,9.242857143
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,13.86071429
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,12.34
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,4.875
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,10.23076923
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,17.64285714
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,19.92962963
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,19.25
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,20
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,20.92857143
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,22.92592593
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,19.71428571
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,19.42857143
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,20.60714286
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,17.65
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,17.47368421
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,18.35714286
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,19.96428571
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,20.2
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,21.38888889
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,-1.727272727
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,4.65
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,10.61666667
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,8.785714286
-105.68,26.92,PRRCH,CHIH,Parral Chih.,7.039285714
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,10.08571429
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,11.05384615
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,5.710714286
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,11.94230769
-107.91,27.22,URECH,CHIH,Urique Chih.,9.846153846
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,8.52
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,4.5
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,6.857142857
-107.9,27.9,BTVCH,CHIH,Batovira Chih.,-0.434782609
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,6.535714286
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,-0.973076923
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,6.535714286
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,-0.785714286
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,6.853571429
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,-1.021428571
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,9.05
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,0.267857143
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,2.178571429
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,5.321428571
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,1.642857143
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,3
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,4.789473684
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,21.17857143
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,19.86923077
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,21.13461538
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,19.33928571
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,21.01785714
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,23.48214286
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,22.91071429
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,14.11428571
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,14.69642857
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,16.78571429
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,15.17857143
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,15.07142857
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,20.42857143
-92.67,15.92,REFCP,CHIS,Reforma Chis.,13.39285714
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,15.78571429
-92.1,16.2,COOCP,CHIS,Observatorio de Comitán Chis.,12.75714286
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,21.925
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,15.89285714
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,18.46428571
-92.8,16.55,ACACP,CHIS,Acala Chis.,17.55357143
-90.7,16.58,LACCP,CHIS,Lacantún Chis.,19.15789474
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,18.44642857
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,7.959259259
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,18.23928571
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,20.85714286
-92.82,16.94,SNACP,CHIS,Santa María Chis.,17.35714286
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,20.46153846
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,17.63461538
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,17.05769231
-93.6,17.18,MALCP,CHIS,Nezahualcóyotl Chis.,21.79166667
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,19.80952381
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,17.73615385
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,21.875
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,19.64285714
-101.02,25.38,STOCL,COAH,Saltillo Coah.,10.23076923
-103.45,25.54,TORCL,COAH,Observatorio de Torreón Coah.,12.36785714
-103.47,25.54,CYTCL,COAH,Coyote Coah.,11.67857143
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,9.074074074
-102.98,25.76,SPECL,COAH,San Pedro Coah.,8.732142857
-100.66,26.84,CDLCL,COAH,Candela Coah.,11.16
-101.42,26.91,MCVCL,COAH,Monclova Coah.,11.41785714
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,8.481481481
-101,27.42,PRSCL,COAH,Progreso Coah.,8.52
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,9.888888889
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,9.211538462
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,10.64166667
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,6.96
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,8.269230769
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,8.333333333
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,7.851851852
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,7.615384615
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,17.625
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,17.51785714
-103.63,18.83,CLLCM,COL,Callejones Col.,18.875
-103.87,18.91,TCMCM,COL,Tecomán Col.,18.95454545
-104.32,19.04,MNZCM,COL,Manzanillo Col.,21.475
-103.8,19.21,CQMCM,COL,Coquimatlán Col.,17.75
-103.73,19.22,LPSCM,COL,La Posta Col.,17.22857143
-103.73,19.22,RDRCM,COL,Radar Col.,18.89285714
-103.61,19.25,BVSCM,COL,Buena Vista Col.,15.375
-103.81,19.32,PNTCM,COL,Peñitas Col.,19.2
-103.6,19.32,CUACM,COL,Cuauhtémoc Col.,17.65217391
-99.2,19.3,DATDF,DF,Desviación Alta Cd. de Méx.,9.142857143
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,11.41851852
