LON,LAT,EDO,CLAVE,ESTACION,JUL
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",113.9
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",135
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",290.5
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula, Chis. CFE*",261.5
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",79.6
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",82
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",101.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",135.4
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",78.7
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",160.5
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",111
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",178
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",101.7
-93.820278,16.924722,CHIS,STAMARIACFE,"Santa MarÌa, Chis. CFE*",99.7
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",125.8
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",93.3
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",197
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",129.9
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",179.6
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",254.7
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",223.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",63
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",48.9
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",26.2
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",83.4
-93.270833,16.233333,CHIS,VIFCP,"Villa Flores, Chis.",163
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",104.7
-93.328333,17.120833,CHIS,YAMONHOCFE,"YamonhÛ, Chis. CFE*",53.6
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",15.3
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",22
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",14
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",4.7
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",4.2
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",42
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",2
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",39
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",22.8
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",14.4
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",10
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",20
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",68.5
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",27
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",12.5
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",5.2
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",7.4
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",9.5
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",10.8
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",30
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",68.9
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",3.3
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",11.7
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",67
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",52
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",20.9
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",16.1
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",10.1
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",21
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",0
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",393.3
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",162.8
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",276.5
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",277.7
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",223
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",152.7
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",248.4
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",118.8
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",79.3
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",175.4
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",126.6
