LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",14.2
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",9.9
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",5.9
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",1
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",35.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",130
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",83.5
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",4.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",4.4
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",0.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",2.24
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",6.41
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",5.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",29.01
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",22.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",0
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",263.2
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",6.71
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",0
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",6.2
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",3.41
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",30
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",26.2
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",0
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",2
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",223.1
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",2.5
-90.702222,16.580833,CHIS,LACCP,"Lacant˙n, Chis.",95.21
