LON,LAT,EDO,CLAVE,ESTACION,AGO
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",109.6
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",138
-93.123611,16.971111,CHIS,ELGRIJALVACFE,"El Grijalva, Chis. CFE*",171.5
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",405.52
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",384.8
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",73.4
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",153.7
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",484.21
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",490.75
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",171.5
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",375.94
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",728
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",128.6
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",688.8
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",179
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",282.8
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",325.44
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",158.51
-93.381389,17.364167,CHIS,JGRIJALVACFE,"T˙neles Juan de Grijalva, Chis. CFE*",158.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",252.31
-93.193333,17.608333,CHIS,JUAREZ,"Ju·rez, Chis. ProtecciÛn Civil*",12.2
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. OCFS*",111.7
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",140.5
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",140.5
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",571.53
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",190.1
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",200.8
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",138.5
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",147.2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",321.6
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",152.8
-93.159722,17.225,CHIS,OCOTEPECCFE,"Ocotepec, Chis. CFE*",152.8
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",118.6
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",174.73
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",359.2
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",264.51
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",264.51
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",409.5
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",128.6
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",114
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",118
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",130
-93.551667,17.353889,CHIS,RCALZADACFE,"RÛmulo Calzada, Chis. CFE*",130
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",357.02
-92.661667,15.919722,CHIS,REFORMACFE,"Reforma, Chis. CFE*",357
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",249.2
-93.078889,16.160278,CHIS,REVMEXICANACFE,"Revolucion Mexicana, Chis. CFE*",249.2
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",167.4
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",185.9
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",110.6
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",251.62
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula, Chis. CFE*",242.61
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",96.1
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",134.7
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",118.96
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",201.41
-93.056389,16.4525,CHIS,SDOMINGOCFE,"Santo Domingo, Chis. CFE*",201.4
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",130
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",198.2
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",117.1
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",134.94
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",185.9
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",648.9
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",268.11
-93.820278,16.924722,CHIS,STAMARIACFE,"Santa MarÌa, Chis. CFE*",268.2
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",202.5
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",124.1
-92.1475,14.9625,CHIS,TALISMAN,"Talism·n, Chis. SMN*",10.5
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",680.5
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",167.8
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",218.2
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",152.8
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",424.5
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",155.8
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",244.13
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",215.5
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",168
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",216.3
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",264
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",237.9
-93.270833,16.233333,CHIS,VIFCP,"Villa Flores, Chis.",341.22
-92.331944,17.1725,CHIS,YAJALON,"YajalÛn, Chis. SGT*",157.6
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",61.01
-93.328333,17.120833,CHIS,YAMONHOCFE,"YamonhÛ, Chis. CFE*",61
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",134.6
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",0.01
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",0
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",30.01
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",6.2
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",0.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",51
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",8
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",20
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",20.21
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",19.32
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",20.21
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas, Ciudad AcuÒa CILA, Coah.",7.6
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",10.01
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",15.3
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",20.6
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",6.75
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",46.4
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",0.1
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.02
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",1
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",28
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",29.02
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",0
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",23.33
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",9.01
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",79
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",10.62
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",4.7
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",22.61
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",8.8
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",9
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",0
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",238.52
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",134.65
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",210.02
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",176.61
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",210.4
-103.733333,19.233333,COL,COLIMAob,"Observatorio de Colima, Col. SMN*",141
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",73.01
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",220
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",101.75
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",46.3
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",109.82
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",135.1
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",110.94
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",99.91
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",170.5
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",55.21
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",111.71
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",153.4
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",48.02
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",66.93
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",209.56
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",157.76
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de MÈx. SACMEX*",38.612
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",67.82
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",150.83
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",67.064
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",104.52
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",74.04
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",78.93
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",89.72
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",173.226
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",85.08
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",33.7
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de MÈx. UNAM*",65.11
