LON,LAT,EDO,CLAVE_SIH,NOMBRE,FEB
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",0.4
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",327
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",57.8
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",11
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",0
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",1.6
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",237.3
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",37.6
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",0.01
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",182.32
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",0
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",142.8
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.51
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0.01
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",68.1
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",25.4
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",326.21
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",2.3
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",2.71
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",0.01
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",7
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",94.4
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",210.1
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",55.7
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",0
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",6.3
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",138.1
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.3
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.6
-92.147222,15.091111,CHIS,VTACANA,"Volc·n Tacana, Chis. SMN*",10
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",110.1
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",39.8
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",13.9
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",0.01
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",2.54
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0.2
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0.01
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",5.03
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",0
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",2
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",4
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",2.37
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",0
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",5.2
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.03
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",12
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",1
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",0.71
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",1.25
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",11.89
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",0.01
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",7.5
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0.01
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",0.51
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",5
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",0
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0.25
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",0.01
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",0
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",0.01
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",0.6
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",0
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",27.18
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",0.5
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",5.09
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",2.54
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",7.62
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",2.82
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",13.97
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",5.08
