Lon,Lat,Clave,Edo,Est,Tmax
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,31.5
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,35.6
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,34.6
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,30.8
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,33.1
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,33.2
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,31.4
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,31.1
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,32.3
-92.67,15.92,REFCP,CHIS,Reforma Chis.,31.6
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,30.3
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,27.4
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,36.0
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,32.0
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,32.7
-92.8,16.55,ACACP,CHIS,Acala Chis.,34.1
-90.7,16.58,LACCP,CHIS,Lacant˙n Chis.,33.3
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,33.3
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,25.0
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,33.0
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,32.2
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,33.5
-92.82,16.94,SNACP,CHIS,Santa MarÌa Chis.,31.7
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,32.6
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,34.1
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,31.8
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,32.6
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,33.2
-93.46,17.45,PENCP,CHIS,¡ngel Albino Corzo Chis.,32.4
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,33.0
-93.27,16.23,VIFCP,CHIS,Villa Flores Chis.,29.3
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,32.3
