LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",203.03
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",439.82
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",271.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",238.04
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",329.6
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",171.6
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",125.4
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",543
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",387.25
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",481.6
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",225.6
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",309.53
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",471.91
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",439.6
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",143.8
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",150.4
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",173.9
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",89.22
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",135.94
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",97.8
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",390.04
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",175.1
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",152.6
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",195.2
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",170.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",59.51
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",105.6
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",323.6
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",33.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",255.82
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",117.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",193.9
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",70
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",106.8
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",306.51
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",237.12
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",165.71
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",156.2
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",116.3
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",102
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",110.52
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",150.1
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",351.5
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",233.11
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",289
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",379.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",57.92
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",85.9
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",47.63
-92.147222,15.091111,CHIS,VTACANA,"Volc·n Tacana, Chis. SMN*",0
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",87.8
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",179.8
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",198.9
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",121.03
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",89.01
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",2.53
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",114
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",13.37
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",114.01
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",8
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",79
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",21.01
-101.145,27.85,COAH,HSABINAS,"H. Sabinas, Coah. SGT*",78.5
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",93.25
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",12.41
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",85.6
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",78.25
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",67.96
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",42.01
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",108.25
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",33
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",22.21
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",117.5
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",82.18
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",32.03
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",118
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",21.2
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.8
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",13.02
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",23.4
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",18.52
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",144
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",0.01
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",2.51
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",9.41
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",5
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",1.21
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",3.3
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",2.3
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",3.1
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",2.01
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",1.01
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",0
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",0
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",0
