LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",16.1
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",0
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",407.6
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0.9
-93.169722,16.615,CHIS,BOQUERONCFE,"BoquerÛn, Chis. CFE*",1
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",0.8
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",3.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",16
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",245.8
-92.626389,16.894167,CHIS,CHENALHO,"Chenalho, Chis. SGT*",73
-93.019167,16.706389,CHIS,CHIAPACORZO,"Chiapa de Corzo, Chis. SGT*",0.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",18.8
-93.100556,16.941667,CHIS,CHICP,"ChicoasÈn, Chis.",1.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",13.6
-92.133333,16.233333,CHIS,COMITANob,"Observatorio Comit·n, Chis. SMN*",9.8
-92.1,16.2,CHIS,COOCP,"Comit·n Observatorio, Chis.",10.5
-91.229167,17.289722,CHIS,CUSUMACINTA,"CaÒon Usumacinta, Chis. SMN*",230.6
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques HM, Chis. SGT*",3.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",0.8
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",22
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. OCFS*",13.3
-93.123611,16.971111,CHIS,ELGRIJALVACFE,"El Grijalva, Chis. CFE*",0.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",0
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",114.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",0
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0.3
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",0
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",0.3
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",9
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",10.8
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines (Custapeques), Chis.",2.5
-93.192222,15.574167,CHIS,LAENCRUCIJADA,"La Encrucijada, Chis. OCFS*",32.1
