LON,LAT,EDO,CLAVE,ESTACION,ene-20
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",61.7
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",20.0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",78.3
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",54.2
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",22.2
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0.0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",14.5
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",60.5
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",34.7
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",69.8
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",50.8
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",62.7
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",106.5
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",34.7
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",30.2
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",87.0
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",23.0
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",23.0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",24.0
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",17.9
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de MÈx. SACMEX*",3.8
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",1.8
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",28.0
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",1.8
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",22.5
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",1.9
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",2.9
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",1.5
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",16.3
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",7.6
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",2.8
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de MÈx. UNAM*",4.4
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",1.5
