,Lon,Lat,Clave,Edo,Est,Tmed_1,Tmed_2,Tmed_3,Tmed_4,Tmed_5,Tmed_6,Tmed_7,Tmed_8,Tmed_9,Tmed_10,Tmed_11,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11
22,-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,8.967741935,11.19642857,12.12068966,12.58333333,13.66666667,11.08928571,10.40322581,11.13793103,10.8,10.3,10.2,2.677419355,4.6428571430000005,5.379310345,6.1,7.166666667,6.428571429,5.709677419,5.9310344829999995,5.8,5.5,4.6,18.32258065,17.75,18.86206897,19.06666667,20.16666667,15.75,15.09677419,16.34482759,15.7,15.2,15.7
23,-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,18.998387100000002,18.53571429,20.50172414,24.15333333,24.56774194,29.65892857,32.34677419,32.92666667,30.4,27.4,23.7,13.18709677,13.20357143,13.786206900000002,17.60666667,18.89354839,23.80714286,27.80645161,28.15,26.0,21.9,19.0,25.025,23.86785714,27.21724138,30.7,30.24193548,35.51071429,36.88709677,37.70333333,34.8,32.9,28.3
24,-103.51,24.29,SGOZC,ZAC,Santiago Zac.,10.07258065,13.24107143,21.51612903,21.97321429,22.81451613,23.84166667,23.75806452,23.75806452,22.7,22.2,15.7,3.758064516,5.714285714,14.77419355,14.17857143,15.72580645,17.53333333,17.67741935,17.46774194,16.4,15.7,8.8,16.91935484,20.76785714,28.25806452,29.76785714,29.90322581,30.15,29.83870968,30.048387100000003,29.0,28.6,22.6
25,-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,20.44516129,19.12407407,19.45714286,19.74666667,18.22903226,20.59814815,25.61111111,26.89038462,27.2,24.9,24.0,15.43548387,14.54074074,14.59642857,15.48666667,14.95806452,17.28148148,22.54814815,24.09230769,24.3,21.3,20.1,25.07777778,23.70740741,24.31785714,24.00666667,21.5,23.91481481,28.67407407,29.68846154,30.0,28.6,27.9
26,-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.56666667,26.03571429,26.40322581,27.91666667,29.82258065,29.93333333,29.12903226,29.39032258,28.4,27.6,25.5,17.96666667,20.53571429,20.12903226,21.13333333,23.80645161,24.43333333,23.32258065,23.64516129,23.0,23.1,20.7,29.24137931,31.53571429,32.67741935,34.7,35.83870968,35.43333333,34.93548387,35.13548387,33.7,32.1,30.2
27,-103.42,20.44,TLAJOMULCO,JAL,Tlajomulco Jal. SMN*,15.77741935,18.35357143,21.01551724,22.435,24.42258065,24.6,22.22419355,22.39516129,22.0,21.3,19.4,5.95483871,7.978571429,11.3137931,13.43333333,16.11612903,17.875,16.25483871,16.42903226,16.4,15.0,12.3,24.5037037,28.72857143,30.71724138,31.43666667,32.72903226,31.325,28.19354839,28.36129032,27.6,27.6,26.5
28,-100.01,25.27,AL2NL,NL,Allende Dos N. L.,13.31481481,16.65384615,19.3125,21.75,26.05555556,28.06666667,28.06451613,30.28333333,26.6,22.7,17.4,6.444444444,9.346153846,12.95833333,13.16666667,20.03703704,21.13333333,20.32258065,22.0,20.6,16.5,11.0,23.06551724,23.96153846,25.66666667,30.33333333,32.07407407,35.0,35.80645161,38.56666667,32.7,28.9,23.9
29,-95.48,16.59,RHOOX,OAX,Río Hondo Oax.,26.03225806,28.78571429,28.09677419,29.6,30.72222222,29.35714286,28.59677419,28.88793103,28.6,27.0,26.0,18.90322581,20.89285714,20.48387097,21.16666667,22.44444444,22.60714286,22.0,21.68965517,21.8,21.0,19.6,32.84615385,36.67857143,35.70967742,38.03333333,39.0,36.10714286,35.19354839,36.08620689999999,35.5,33.0,32.5
30,-96.85,18.4,TLPPB,PUE,Tlacotepec de Díaz Pue.,20.39655172,23.03571429,23.35483871,26.10344828,28.27419355,26.83333333,26.30645161,26.63709677,26.0,24.9,22.6,15.34482759,17.03571429,17.25806452,19.0,20.548387100000003,20.36666667,20.35483871,20.58064516,20.4,20.2,18.6,26.21666667,29.03571429,29.451612899999997,33.20689655,36.0,33.3,32.25806452,32.69354839,31.5,29.6,26.6
31,-87.49,21.1,KANTUNILKIN,QROO,Kantunilkín Q. Roo. SMN*,22.945,25.08392857,25.41551724,27.085,28.87258065,30.01428571,29.46935484,29.27096774,29.0,28.0,25.3,17.93,19.725,19.34827586,21.14,23.46129032,24.48214286,23.72580645,23.77096774,23.7,23.6,20.6,29.69259259,30.44285714,31.48275862,33.03,34.28387097,35.54642857,35.21290323,34.77096774,34.3,32.4,30.0
32,-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,28.39677419,29.34615385,30.33548387,31.205,30.28064516,29.81166667,29.78548387,29.80166667,29.3,28.4,29.3,22.31612903,23.25384615,23.65483871,25.02,24.57741935,24.17666667,23.94516129,24.04666667,23.8,23.2,23.5,35.51666667,35.43846154,37.01612903,37.39,35.98387097,35.44666667,35.62580645,35.55666667,34.8,33.5,35.1
33,-102.37,21.78,NGRAG,AGS,El Niagara Ags.,14.02419355,16.25,18.41129032,18.50833333,21.33870968,23.58333333,21.62096774,21.5,20.5,19.5,17.9,3.741935484,4.910714286,6.838709677000001,6.8833333329999995,10.09677419,15.51666667,14.20967742,14.3,13.2,12.3,9.5,24.39,27.58928571,29.98387097,30.13333333,32.58064516,31.65,29.03225806,28.7,27.9,26.8,26.3
34,-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,15.198387099999998,17.95,19.91612903,20.445,23.20645161,25.13333333,22.94516129,23.13064516,22.5,21.5,19.2,3.874193548,6.0678571429999995,7.812903226,8.443333333,11.72258065,16.72,15.20967742,15.38064516,14.7,13.3,10.6,26.07096774,29.83214286,32.01935484,32.44666667,34.69032258,33.54666667,30.68064516,30.88064516,30.2,29.7,27.7
35,-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,14.89677419,17.58214286,20.17258065,21.12,23.748387100000002,24.785,22.58387097,22.72532258,22.1,21.0,18.3,5.716129032,7.75,9.461290323,10.58666667,13.52258065,17.12,15.23870968,15.30548387,15.1,13.7,10.8,23.79333333,27.41428571,30.88387097,31.65333333,33.97419355,32.45,29.92903226,30.14516129,29.2,28.2,25.8
36,-102.0,21.9,CNSAG,AGS,Los Conos Ags.,13.60483871,16.44642857,18.41129032,18.79166667,21.79032258,22.80833333,20.88709677,21.03548387,19.4,18.8,17.1,3.7903225810000003,5.589285714,6.741935484,6.85,10.91935484,15.31666667,13.88709677,13.72580645,12.1,11.5,8.9,24.23333333,27.30357143,30.08064516,30.73333333,32.66129032,30.3,27.88709677,28.34516129,26.7,26.1,25.3
37,-102.68,22.0,CDRAG,AGS,La Codorniz Ags.,15.81451613,18.51785714,20.62096774,20.75,23.20967742,24.43333333,21.72580645,22.14516129,20.8,20.1,18.7,7.112903226,9.125,10.75806452,11.06666667,13.5,17.03333333,15.08064516,15.20967742,14.3,13.0,11.3,24.76666667,27.91071429,30.48387097,30.43333333,32.91935484,31.83333333,28.37096774,29.08064516,27.3,27.1,26.0
38,-102.36,22.12,JCQAG,AGS,Jocoque Ags.,13.77419355,17.3125,19.00806452,20.16666667,23.15322581,23.425,21.67741935,22.26612903,20.6,19.0,17.4,4.4193548389999995,7.535714286,8.580645161,9.65,13.29032258,15.5,14.12903226,14.38709677,13.3,11.9,9.7,23.23333333,27.08928571,29.43548387,30.68333333,33.01612903,31.35,29.22580645,30.14516129,27.9,26.0,25.1
39,-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,14.29032258,17.97321429,19.91129032,20.03333333,22.67741935,22.44166667,21.048387100000003,21.95833333,20.5,19.4,17.6,5.564516128999999,8.660714286000001,9.983870968,11.13333333,13.9516129,15.2,14.03225806,14.55,13.4,12.1,9.8,23.46666667,27.28571429,29.83870968,28.93333333,31.40322581,29.68333333,28.06451613,29.36666667,27.6,26.7,25.4
40,-102.29,22.16,PBLAG,AGS,Pabellón Ags.,13.23387097,16.54464286,18.31451613,19.21666667,22.27419355,23.08333333,21.40322581,22.13612903,20.7,18.8,17.1,3.983870968,6.732142857,8.177419355,9.25,13.06451613,15.45,13.98387097,14.35483871,13.5,11.8,9.1,22.72413793,26.35714286,28.451612899999997,29.18333333,31.48387097,30.71666667,28.82258065,29.91741935,27.9,25.8,25.0
41,-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,13.57258065,16.97321429,18.798387100000003,19.39166667,22.31451613,22.25,20.86290323,21.4,19.9,18.8,16.9,5.064516128999999,7.75,9.35483871,10.35,13.69354839,14.96666667,13.80645161,14.18333333,13.3,12.1,9.6,22.37096774,26.19642857,28.24193548,28.43333333,30.93548387,29.53333333,27.91935484,28.61666667,26.4,25.5,24.2
42,-102.3,22.36,CSOAG,AGS,Cosío Ags.,9.435483871,12.58035714,14.58870968,15.25,17.86290323,18.39166667,16.68548387,17.3,15.9,14.6,12.2,0.790322581,3.321428571,5.241935484,5.916666667,8.903225806,10.8,9.112903226,9.833333332999999,8.8,7.5,5.1,18.19,21.83928571,23.93548387,24.58333333,26.82258065,25.98333333,24.25806452,24.76666667,22.9,21.7,19.3
43,-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,13.98666667,11.32037037,15.312000000000001,19.04,17.78548387,22.62321429,28.29354839,29.32,26.1,21.5,18.0,8.65,6.448148148,8.316,11.06,10.38709677,14.28928571,20.23225806,21.15,18.7,13.8,11.9,19.01071429,16.19259259,22.308000000000003,27.02,25.18387097,30.95714286,36.35483871,37.49,33.4,29.2,24.1
44,-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,22.22903226,24.74285714,25.18965517,27.24666667,29.20645161,28.92678571,27.86451613,28.56666667,27.9,27.2,24.9,15.32580645,17.64285714,17.56206897,20.17,23.4,23.38214286,21.48387097,21.59666667,21.5,22.2,19.0,29.26538462,31.84285714,32.81724138,34.32333333,35.01290323,34.47142857,34.24516129,35.53666667,34.3,32.2,30.8
45,-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,23.37096774,26.69642857,27.03225806,28.78333333,31.6,29.33928571,28.64516129,28.87903226,28.8,28.0,25.6,17.22580645,19.25,19.38709677,21.06666667,23.41935484,23.03571429,22.09677419,22.22580645,22.5,22.4,20.0,29.75806452,34.14285714,34.67741935,36.5,39.78064516,35.64285714,35.19354839,35.53225806,35.2,33.5,31.1
46,-92.09,18.25,PLZCA,CAMP,Palizada Camp.,23.24193548,25.99107143,25.61290323,28.16666667,30.93103448,28.78571429,28.5,28.41666667,27.9,27.2,25.1,18.25806452,20.0,19.64516129,21.3,23.51724138,22.89285714,22.03448276,22.06666667,21.8,21.9,20.2,28.43333333,31.98214286,31.58064516,35.03333333,38.34482759,34.67857143,34.96551724,34.76666667,34.0,32.5,30.1
47,-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,22.98148148,26.5,27.15,28.91071429,31.38709677,30.80357143,29.66129032,29.94354839,29.8,29.8,27.3,18.25925926,20.92857143,21.63333333,22.60714286,25.16129032,24.92857143,23.96774194,24.22580645,24.2,24.2,21.6,31.66666667,32.07142857,32.66666667,35.21428571,37.61290323,36.67857143,35.35483871,35.66129032,35.4,35.3,32.9
48,-91.76,18.65,CARCA,CAMP,El Carmen Camp.,25.0,27.57407407,27.67241379,29.31481481,31.451612899999997,30.1,29.70967742,29.80645161,29.3,28.7,26.9,21.31818182,22.92592593,23.55172414,24.62962963,26.70967742,25.86666667,25.61290323,25.61290323,25.2,25.0,23.2,29.14814815,32.22222222,31.79310345,34.0,36.19354839,34.33333333,33.80645161,34.0,33.4,32.4,30.5
49,-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,22.43103448,26.32142857,26.85483871,28.625,30.79032258,29.73333333,28.88709677,28.81935484,28.3,28.1,25.7,17.48275862,19.71428571,20.03225806,20.64285714,23.67741935,23.3,22.48387097,22.67741935,23.0,23.1,20.8,28.82758621,32.92857143,33.67741935,36.60714286,37.90322581,36.16666667,35.29032258,34.96129032,33.7,33.2,30.7
50,-90.58,19.3,CANCA,CAMP,Canasayab Camp.,23.08064516,26.58928571,27.08064516,29.08333333,31.74193548,30.41666667,29.17741935,29.51666667,29.0,28.0,25.8,16.5483871,19.42857143,20.03225806,21.73333333,24.451612899999997,23.8,22.83870968,23.33333333,23.1,22.8,20.3,29.72413793,33.75,34.12903226,36.43333333,39.03225806,37.03333333,35.51612903,35.7,34.9,33.2,31.4
51,-90.72,19.36,CHMCA,CAMP,Champotón Camp.,23.33333333,26.64285714,26.58064516,28.45,31.20967742,29.83333333,29.03448276,29.38225806,29.3,28.3,26.0,17.37037037,20.60714286,20.64516129,22.4,24.96774194,24.46666667,23.44827586,23.96774194,24.0,23.6,21.4,29.82142857,32.67857143,32.51612903,34.5,37.45161289999999,35.2,34.62068966,34.79677419,34.6,33.1,30.6
